output_sentence|input_sentence|labels
'04 angina pectoris klachten|'04 AP klachten|angina pectoris
VG: angina pectoris (2016)|VG: AP (2016)|angina pectoris
PTCA ivm angina pectoris|PTCA ivm AP|angina pectoris
2011: instabiele angina pectoris|2011: instabiele AP|angina pectoris
angina pectoris (ECG passend bij subendocardiaal infarct)|AP (ECG passend bij subendocardiaal infarct)|angina pectoris
1994: angina pectoris, waarvoor 2 x PTCA|1994: AP, waarvoor 2 x PTCA|angina pectoris
geen angina pectoris bij lopen of palpitaties|geen AP bij lopen of palpitaties|angina pectoris
2009 angina pectoris, TIA en CABG|2009 AP, TIA en CABG|angina pectoris
Tractus circ: geen klachten van angina pectoris, palpitaties, hypertensie of oedeem|Tractus circ: geen klachten van AP, palpitaties, hypertensie of oedeem|angina pectoris
werd op 12-02-2019 opgenomen op onze afdeling ivm progressieve angina pectoris|werd op 12-02-2019 opgenomen op onze afdeling ivm progressieve AP|angina pectoris
anamnese: cardiaal klachten zijn er niet, met name geen angina pectoris|anamnese: cardiaal klachten zijn er niet, met name geen AP|angina pectoris
vanaf bekken tot en met voet en vanaf anterior posterior en links en rechts lateraal toont wel enige osteoblastenreactie beiderzijds|vanaf bekken tot en met voet en vanaf anterior posterior en links en rechts lateraal toont wel enige osteoblastenreactie beiderzijds|anterior-posterior
DMSA wordt planaire scintigrafie verricht vanaf anterior-posterior en links en rchts schuin achter.|DMSA wordt planaire scintigrafie verricht vanaf AP en links en rchts schuin achter.|anterior-posterior
Locatie tumor: anterior posterior en apex|Locatie tumor: anterior posterior en apex|anterior-posterior
meerdere infarctgebiedjes in de rechter cerebrale hemisfeer, zowel in het anterior-posterior als mediagebied.|meerdere infarctgebiedjes in de rechter cerebrale hemisfeer, zowel in het AP als mediagebied.|anterior-posterior
In des tatische skeletfase wordt vanaf anterior posterior en inferior geen pathologische botprikkeling in symphysis pubis aangetroffen|In des tatische skeletfase wordt vanaf anterior posterior en inferior geen pathologische botprikkeling in symphysis pubis aangetroffen|anterior-posterior
3 single veneuze grafts ramus descendens posterior-anterior en MO|3 single veneuze grafts ramus descendens posterior-anterior en MO|
afbeelding van cervicale wervelkolom vanaf anterior-posterior en lateraal toont pathologische bloeding|afbeelding van cervicale wervelkolom vanaf AP en lateraal toont pathologische bloeding|anterior-posterior
beeld van de beide enkels vnaf anterior posterior en links en rechts lateraal toont bij rechterenkel licht toegenomen botprikkeling in het bovenste spronggewricht|beeld van de beide enkels vnaf anterior posterior en links en rechts lateraal toont bij rechterenkel licht toegenomen botprikkeling in het bovenste spronggewricht|anterior-posterior
De opnamen vanaf anterior posterior en links en rechts schuin achter tonen een fraai homogene en normale longperfusie en ventilatie|De opnamen vanaf anterior posterior en links en rechts schuin achter tonen een fraai homogene en normale longperfusie en ventilatie|anterior-posterior
Na intraveneuze toedining van 25 MBq DMSA werden statische anterior posterior en posterior oblique opnames gemaakt van de nieren.|Na intraveneuze toedining van 25 MBq DMSA werden statische anterior posterior en posterior oblique opnames gemaakt van de nieren.|anterior-posterior
Meerdere statische opnamen vervaardigd van de beide nieren vanaf anterior-posterior, homogene tubulaire tracerstapeling in de beide nieren.|Meerdere statische opnamen vervaardigd van de beide nieren vanaf AP, homogene tubulaire tracerstapeling in de beide nieren.|anterior-posterior
Breed mediastinum bij matige inspireerde en anterior posterior opname.|Breed mediastinum bij matige inspireerde en anterior posterior opname.|anterior-posterior
planaire fusie opnamen vervaardigd van de beide longen vanaf anterior posterior ebn link, perfusie fraai homogeen|planaire fusie opnamen vervaardigd van de beide longen vanaf anterior posterior ebn link, perfusie fraai homogeen|anterior-posterior
hartslag 70/min in rust, 105/min bij milde inspanning|HA 70/min in rust, 105/min bij milde inspanning|hartslag
ECG: hartslag 75/minuut, geen duidelijke afwijkingen|ECG: HA 75/minuut, geen duidelijke afwijkingen|hartslag
Electrocardiogram: hartslag geen afwijkingen, 1e graads AV block, conform.|Electrocardiogram: HA geen afwijkingen, 1e graads AV block, conform.|hartslag
hartslag maximaal 125/min, tijdens onderzoek had patiente geen angineuze klachten|HA maximaal 125/min, tijdens onderzoek had patiente geen angineuze klachten|hartslag
hartslag werd maximaal 107/minuut, kreeg een beetje pijn op de borst tijdens onderzoek|HA werd maximaal 107/minuut, kreeg een beetje pijn op de borst tijdens onderzoek|hartslag
ECG: hartslag 86 bpm, licht verminderde LV functie|ECG: HA 86 bpm, licht verminderde LV functie|hartslag
hartslag 54 slagen per minuut, tnesie 124 / 66 mmHg|HA 54 slagen per minuut, tnesie 124 / 66 mmHg|hartslag
normale hartslag op ECG, normale hartas, normale PQ en QRS duur.|normale HA op ECG, normale hartas, normale PQ en QRS duur.|hartslag
Electrocardiogram: ongewijzigde hartslag met een oud AS-infarct zonder aanwijzingen voor ischemie|Electrocardiogram: ongewijzigde HA met een oud AS-infarct zonder aanwijzingen voor ischemie|hartslag
Aan de huisarts het verzoek om bij patient een paar keer de bloeddruk te controleren|Aan de HA het verzoek om bij patient een paar keer de bloeddruk te controleren|huisarts
Beleid: expectatief, retour huisarts|Beleid: expectatief, retour HA|huisarts
Het bovenstaande heb ik ook aan de huisarts laten weten.|Het bovenstaande heb ik ook aan de HA laten weten.|huisarts
Patient iom huisarts aangeraden om met een fysiotherapeut verder te werken|Patient iom HA aangeraden om met een fysiotherapeut verder te werken|huisarts
Uitstrijk afgenomen door: huisarts|Uitstrijk afgenomen door: HA|huisarts
Doorverwijzer: huisarts|Doorverwijzer: HA|huisarts
Met angineuze klachten doorverwezen door huisarts|Met angineuze klachten doorverwezen door HA|huisarts
Via de huisarts heeft ze de eerste 4 maanden orofaciale fysiotherapie gehad met dry-needling|Via de HA heeft ze de eerste 4 maanden orofaciale fysiotherapie gehad met dry-needling|huisarts
Advies voor huisarts: overweeg heronderzoek (na ten minste een jaar) in het geval van toegenomen klachten of verminderd dagelijks functioneren|Advies voor HA: overweeg heronderzoek (na ten minste een jaar) in het geval van toegenomen klachten of verminderd dagelijks functioneren|huisarts
Gezien woonplaats pt nu retour huisats voor eventueel nadere analyse en verwijzing cardioloog|Gezien woonplaats pt nu retour huisats voor eventueel nadere analyse en verwijzing cardioloog|
